pendidikan;kode_pendidikan
Universitas Jayabaya;Q12523355
Universitas Jember;Q13098258
Universitas Jenderal Achmad Yani;Q12523356
Universitas Jenderal Soedirman;Q6177417
Universitas Kartini;Q30294755
Universitas Katolik Indonesia Atma Jaya;Q2308020
Universitas Katolik Parahyangan;Q14091635
Universitas Katolik Santo Thomas;Q19744798
Universitas Katolik Soegijapranata;Q7553485
Universitas Katolik Widya Karya;Q97307370
Universitas Katolik Widya Mandira;Q12523364
Universitas Kentucky;Q1360303
Universitas Kobe;Q1192597
Universitas Komunis Para Pekerja dari Timur;Q1144000
Universitas Koperasi Indonesia;Q119465722
Universitas Krisnadwipayana;Q12523366
Universitas Kristen Duta Wacana;Q5317233
Universitas Kristen Indonesia;Q7894412
Universitas Kristen Indonesia Paulus;Q12523368
Universitas Kristen Indonesia Tomohon;Q20427719
Universitas Kristen Internasional;Q1141728
Universitas Kristen Krida Wacana;Q7894414
Universitas Kristen Maranatha;Q6754778
Universitas Kristen Petra;Q7178629
Universitas Kristen Satya Wacana;Q7426888
Universitas Kutai Kartanegara;Q109911108
Universitas Kuwait;Q3273657
Universitas Kyoto;Q336264
Universitas Kyushu;Q1188786
Universitas La Trobe;Q1478723
Universitas Lambung Mangkurat;Q1896627
Universitas Lampung;Q6482697
Universitas Lancang Kuning;Q12523371
Universitas Langlangbuana;Q19744804
Universitas Leeds;Q503424
Universitas Leiden;Q156598
Universitas London;Q170027
Universitas MH Thamrin;Q97307913
Universitas Macquarie;Q741082
Universitas Mahaputra Muhammad Yamin;Q19744808
Universitas Mahasaraswati Denpasar;Q19746168
Universitas Mahendradatta;Q30294464
Universitas Mainz;Q161982
Universitas Majalengka;Q25630027
Universitas Malaya;Q1142924
Universitas Manchester;Q230899
Universitas Maryland;Q503415
Universitas Mataram;Q7895720
Universitas Medan Area;Q12523376
Universitas Melbourne;Q319078
Universitas Mercu Buana Jakarta;Q6818526
Universitas Mercu Buana Yogyakarta;Q12523378
Universitas Merdeka Malang;Q13098259
Universitas Methodist Indonesia;Q7894416
Universitas Metropolitan Leeds;Q2392351
Universitas Mitra Indonesia;Q25471072
Universitas Monash;Q598841
Universitas Mpu Tantular;Q28950103
Universitas Muhammadiyah Aceh;Q12523382
Universitas Muhammadiyah Jakarta;Q12523390
Universitas Muhammadiyah Jambi;Q109434801
Universitas Muhammadiyah Jember;Q12523386
Universitas Muhammadiyah Lampung;Q12523389
Universitas Muhammadiyah Malang;Q47927
Universitas Muhammadiyah Palangkaraya;Q12523394
Universitas Muhammadiyah Prof Dr Hamka;Q12523400
Universitas Muhammadiyah Semarang;Q12523402
Universitas Muhammadiyah Sumatera Barat;Q12523404
Universitas Muhammadiyah Sumatera Utara;Q19744816
Universitas Muhammadiyah Surabaya;Q12523407
Universitas Muhammadiyah Surakarta;Q4259201
Universitas Muhammadiyah Tapanuli Selatan;Q12523406
Universitas Muhammadiyah Yogyakarta;Q14917503
Universitas Mulawarman;Q6933777
Universitas Muslim Indonesia;Q12523408
Universitas Nanjing;Q683580
Universitas Nasional;Q7894418
Universitas Nasional Australia;Q127990
Universitas Nasional Malaysia;Q1444125
Universitas Nasional Singapura;Q738236
Universitas Nasional Timor Lorosae;Q75639
Universitas Negeri Cleveland;Q1100801
Universitas Negeri Florida;Q861548
Universitas Negeri Jakarta;Q12712165
Universitas Negeri Makassar;Q7603607
Universitas Negeri Malang;Q4250919
Universitas Negeri Medan;Q7603611
Universitas Negeri Oregon;Q861888
Universitas Negeri Padang;Q7603634
Universitas Negeri Pennsylvania;Q739627
Universitas Negeri Semarang;Q7603641
Universitas Negeri Surabaya;Q18941968
Universitas Negeri Yogyakarta;Q12523418
Universitas New South Wales;Q734764
Universitas Ngurah Rai;Q28950140
Universitas Norwich;Q1681928
Universitas Notre Dame;Q178848
Universitas Nottingham;Q472316
Universitas Nuku;Q97228230
Universitas Nurtanio Bandung;Q12523415
Universitas Nurul Jadid;Q43398922
Universitas Nusa Cendana;Q7896000
Universitas Ohio;Q1075339
Universitas Osaka;Q651233
Universitas Otago;Q1201513
Universitas PGRI Sumatera Barat;Q52636186
Universitas PTIQ Jakarta;Q97223044
Universitas Padjadjaran;Q3181122
Universitas Pakuan;Q12523421
Universitas Palangka Raya;Q7896055
Universitas Panca Bhakti;Q19744827
Universitas Pancasakti Tegal;Q12523422
Universitas Pancasila;Q19749142
Universitas Paramadina;Q12523423
Universitas Pasundan;Q7476068
Universitas Pattimura;Q7896071
Universitas Pejuang Republik Indonesia;Q56394483
Universitas Pelita Harapan;Q1847733
"Universitas Pembangunan Nasional ""Veteran"" Jakarta";Q12523428
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta";Q12523429
Universitas Pembangunan Nasional Veteran Jatim;Q7896072
Universitas Pembangunan Panca Budi;Q97200009
Universitas Pembinaan Masyarakat Indonesia;Q12523432
Universitas Pendidikan Indonesia;Q3213529
Universitas Pendidikan Nasional;Q12523434
Universitas Pennsylvania;Q49117
Universitas Pepperdine;Q117876
Universitas Persada Indonesia YAI;Q12523435
Universitas Persahabatan Rakyat Rusia;Q839669
Universitas Pertanian dan Teknologi Tokyo;Q1301275
Universitas Prasetiya Mulya;Q23807281
Universitas Prof Dr Hazairin SH;Q25457659
Universitas Prof. Dr. Moestopo;Q12523440
Universitas Proklamasi  45;Q109913877
Universitas Punjab;Q1549932
Universitas Putra Bangsa Kebumen;Q28725046
Universitas Putra Indonesia;Q12523443
Universitas Putra Malaysia;Q1458579
Universitas Quality Berastagi;Q56394484
Universitas Queensland;Q866012
Universitas Riau;Q7322177
Universitas Riau Kepulauan;Q12523446
Universitas Sains Al Qur'an;Q97308548
Universitas Sains Malaysia;Q1973130
Universitas Sam Ratulangi;Q7408055
Universitas Samudra;Q12523449
Universitas San Francisco;Q1887879
Universitas Sanata Dharma;Q7415523
Universitas Satria Makassar;Q28950168
Universitas Satya Negara Indonesia;Q12523454
Universitas Satyagama;Q12523455
Universitas Seattle;Q615873
Universitas Sebelas Maret;Q7442749
Universitas Siliwangi;Q19744837
Universitas Sintuwu Maroso;Q12523463
Universitas Slamet Riyadi;Q12523466
Universitas Sriwijaya;Q4200297
Universitas Stony Brook;Q969850
Universitas Sulawesi Tenggara;Q30294512
Universitas Sultan Ageng Tirtayasa;Q7636602
Universitas Sumatera Utara;Q4200341
Universitas Surabaya;Q7896370
Universitas Surakarta;Q13098269
Universitas Surapati;Q28950106
Universitas Suryadarma;Q12523469
Universitas Swadaya Gunung Jati;Q12523470
Universitas Swiss German;Q600107
Universitas Sydney;Q487556
Universitas Syiah Kuala;Q3958218
Universitas Tadulako;Q12523473
Universitas Tama Jagakarsa;Q28950092
Universitas Tamansiswa Padang;Q12523472
Universitas Tanjungpura;Q7683446
Universitas Tarumanagara;Q7686915
Universitas Teknik Delft;Q752663
Universitas Teknologi Nanyang;Q721064
Universitas Teknologi Rhein Westfalen Aachen;Q273263
Universitas Teknologi Surabaya;Q97570359
Universitas Teknologi Sydney;Q1145731
Universitas Telkom;Q15057698
Universitas Temple;Q1420239
Universitas Tennessee;Q1150105
Universitas Terbuka;Q7894421
Universitas Texas A&M;Q49212
Universitas Timbul Nusantara;Q28950058
Universitas Timor;Q12523475
Universitas Trilogi;Q30266547
Universitas Trisakti;Q4250926
Universitas Tritunggal Surabaya;Q97570481
Universitas Tufts;Q49120
Universitas Udayana;Q1573634
Universitas Vanderbilt;Q29052
Universitas Virginia;Q213439
Universitas Visva-Bharati;Q1575044
Universitas Vrije Amsterdam;Q1065414
Universitas Waseda;Q274486
Universitas Western Australia;Q1517021
Universitas Western Sydney;Q1141452
Universitas Westminster;Q1247544
Universitas Widya Mataram Yogyakarta;Q12523482
Universitas Wijaya Kusuma Surabaya;Q12523483
Universitas Wijaya Putra;Q12523484
Universitas Wiraswasta Indonesia;Q12523487
Universitas Wollongong;Q1350021
Universitas YARSI;Q8045825
Universitas Yappan;Q97570484
Universitas Yordania;Q610253
Universitas Yos Sudarso Surabaya;Q25460602
Universitas Zürich;Q206702
Universitas dan Riset Wageningen;Q422208
Universiti Utara Malaysia;Q1723289
Universits Ilmu Terapan Inholland;Q38881
University College London;Q193196
University of California;Q129421
Victoria Institution;Q7926798
Wellesley College;Q49205
Xaverius III Palembang;Q97572689
universitas;Q3918
universitas yapis papua;Q30294500
